"collection","id","value","present"
"presentations","presentation-2022-11-an-investigation-of-the-female-and-male-ga","An investigation of the female and male gaps in maths and reading using a large and representative Italian sample: The impact of differential item functioning and anxiety",TRUE
"presentations","presentation-2022-12-non-pharmacological-interventions-for-slee","Non-pharmacological interventions for sleep quality in older adults: a systematic review and meta-analysis",TRUE
"presentations","presentation-2021-13-spatial-learning-and-gender-cognitive-moti","Spatial learning and gender: cognitive, motivational, and social factors",TRUE
"presentations","presentation-2021-14-il-rasoio-di-occam-applicato-alla-dislessi","Il rasoio di Occam applicato alla dislessia (nella ricerca)",TRUE
"presentations","presentation-2020-15-entia-non-sunt-multiplicanda-shall-i-look-","Entia non sunt multiplicanda... Shall I look for clusters in my data? Maybe not!",TRUE
"presentations","presentation-2019-16-elicitazione-e-utilizzo-del-parere-degli-e","Elicitazione e utilizzo del parere degli esperti",TRUE
"presentations","presentation-2019-17-profile-and-structure-of-intelligence-in-c","Profile and structure of intelligence in children with specific learning disorders",TRUE
"presentations","presentation-2018-18-profili-intellettivi-alla-wisc-iv-nei-dist","Profili intellettivi alla WISC-IV nei disturbi del neurosviluppo e nelle eccezionalità",TRUE
"presentations","presentation-2018-19-the-significance-of-working-memory-within-","The significance of working memory within the intellectual profile of children with learning disorder",TRUE
"presentations","presentation-2018-20-bifactor-structure-of-the-wisc-iv-in-child","Bifactor structure of the WISC-IV in children with learning disorder vs typical development: better looking at g or at the specific factors?",TRUE
"presentations","presentation-2018-21-avoiding-the-floor-effect-in-the-wisc-iv-u","Avoiding the floor effect in the WISC-IV using Z scores and equivalent age: average profile and factor analysis on individuals with intellectual disability",TRUE
"presentations","presentation-2018-22-environment-learning-from-virtual-explorat","Environment learning from virtual exploration in individuals with Down syndrome: perspective, sketch maps, and individual differences",TRUE
"presentations","presentation-2018-23-the-dark-side-of-personality-individual-di","The dark side of personality: Individual differences in personality and their impact on emotional false memories for pictorial scripted events",TRUE
