id,award_date,degree_it,degree_en,field_it,field_en,institution_original,location,country_code,thesis_title_original,thesis_title_it,thesis_title_en,grade,supervisor,co_supervisor,include_short,sort_order,source_page
phd-psychological-sciences-padua,2016-04-18,"Dottorato di Ricerca","PhD","Scienze Psicologiche","Psychological Sciences","Università degli Studi di Padova","Padova, Italia",IT,"Inferential false memories for emotional events","Falsi ricordi inferenziali per eventi emotivi",,"","Cesare Cornoldi",,TRUE,1,1
msc-experimental-psychology-padua,2012-06-20,"Laurea Magistrale","Master’s degree","Psicologia Sperimentale","Experimental Psychology","Università degli Studi di Padova","Padova, Italia",IT,,,,"110/110 con lode","Cesare Cornoldi","Annika Melinder",TRUE,2,1
technical-diploma-computer-science,2007-06,"Diploma di Perito Informatico","Technical diploma","Informatica","Computer Science","ITIS G. Marconi","Verona, Italia",IT,,,,"100/100 con lode",,,FALSE,3,2
