id,level,role,principal_investigator,project_title_original,scheme_original,call_year,code,cup,start_date,end_date,current,duration_months,amount_eur,amount_scope,host_organization,description_it,description_en,include_short,sort_order,source_page
prin-pnrr-time-processing-adhd,national,Co-PI,"Valentina Tobia","Time processing skills in primary school children with ADHD: A multi-informant approach to diagnosis and intervention","Progetti di Rilevante Interesse Nazionale - PRIN-PNRR",2022,P2022ZKAH8,C53D23009190001,2023-11,,TRUE,,224951,total_project,"Università San Raffaele",,,TRUE,1,2
prin-tails-or-types,national,PI,"Enrico Toffalini","Tails or types? Testing the dimensional hypothesis in neurodevelopmental disorders","Progetti di Rilevante Interesse Nazionale - PRIN",2022,2022KBW99S,C53D23004210006,2023-10,,TRUE,,195296,total_project,"Università degli Studi di Padova",,,TRUE,2,2
prid-stratys,local,PI,"Enrico Toffalini","STRATYS - Linking personality and daily stress: an intensive ecological assessment of psychological and physiological responses","Project of Interest for the Department - PRID",2026,,,2026,,FALSE,24,9095,department_contribution,"Dipartimento di Psicologia Generale, Università di Padova","Grant dipartimentale per progetti di ricerca multidisciplinari.","Departmental grant for multidisciplinary research projects.",TRUE,3,2
prid-pio,local,Co-PI,"Lucia Regolin","PIO - Perspective on Intelligence Ontogeny","Project of Interest for the Department - PRID",2023,,,2023,,FALSE,12,10000,department_contribution,"Dipartimento di Psicologia Generale, Università di Padova","Grant dipartimentale per progetti di ricerca multidisciplinari.","Departmental grant for multidisciplinary research projects.",FALSE,4,2
